Type;Modulus;Size;Skip Values;Skip Type;Result
Squares;5;72;2,3,4,5,6,7,8;original;1
Squares;3;32;2,4,6,8,10,12,14,16;original;1
Circles;13;13;2,4,6,8,10,12,14;v2;1
Circles;23;23;5,10,15,20,25;v2;1
Circles;16;16;5,10,15,20,25,30,35,40;v2;1
Curves;6;26;3,6;original;1
Circles;13;13;2,4,6,8,10,12,14;v2;1
Curves;12;78;3,6,9,12,15,18,21;original;0
Circles;26;58;10;original;0
Circles;13;76;3,6,9,12,15,18,21;original;0
Circles;19;86;1,2,3,4;original;0
Circles;13;93;2,3,4,5,6,7,8;original;0
Stripes;9;9;5,10;v2;1
Stripes;29;29;10,20,30;v2;1
Stripes;29;29;10,20,30,40;v2;1
Curves;12;81;2,4,6,8,10,12,14,16;original;0
Squares;9;10;2,3,4,5,6,7,8;original;0
Curves;12;10;5,10,15,20,25,30;original;0
Stripes;8;56;10,20,30,40,50,60;original;0
Stripes;10;10;5,10,15,20,25;v2;0
Curves;21;46;10,20,30,40;original;1
Stripes;5;60;2,4,6;original;0
Curves;21;42;5,10,15,20;original;0
Circles;11;11;1,2;v2;2
Squares;12;12;1;v2;2
Squares;2;3;10,20,30;original;1
Stripes;20;83;1,2,3,4,5;original;1
Circles;23;23;10,20,30,40,50,60,70;v2;1
Circles;26;26;10,20,30,40;v2;1
Stripes;14;14;10,20,30,40,50,60;v2;1
Stripes;20;20;2,3,4,5,6,7,8;v2;1
Circles;5;5;10;v2;1
Circles;17;17;3,6,9,12;v2;1
Squares;4;4;2,4,6,8;v2;1
Circles;14;14;2,3,4,5,6,7,8;v2;1
Squares;28;28;3,6,9;v2;1
Squares;25;56;5,10;original;1
Squares;9;74;2,3,4,5,6,7,8;original;1
Squares;23;68;3,6,9;original;1
Stripes;28;32;1,2,3,4;original;1
Stripes;10;70;2;original;1
Circles;10;10;2,4;v2;0
Stripes;7;7;2,4,6,8,10,12;v2;1
Stripes;2;60;5;original;1
Squares;19;19;10;v2;1
Stripes;5;5;2,3,4,5,6,7,8;v2;1
Stripes;23;23;3,6,9;v2;1
Stripes;10;10;1,2;v2;0
Squares;2;14;1,2;original;1
Circles;12;3;5,10,15,20;original;1
Circles;10;21;10;original;1
Circles;23;9;1,2,3,4,5,6,7,8;original;1
Circles;23;23;5,10,15,20,25,30;v2;1
Circles;7;7;3,6,9,12,15,18,21;v2;1
Stripes;24;90;10,20,30,40,50,60,70,80;original;1
Stripes;19;78;5,10,15;original;1
Circles;25;25;5,10,15,20,25,30,35,40;v2;1
Circles;24;24;1,2,3,4,5,6,7,8;v2;1
Stripes;27;27;1,2,3,4,5,6,7,8;v2;1
Circles;22;50;5,10;original;0
Circles;21;70;3;original;0
Circles;4;4;3;v2;2
Circles;24;97;10,20,30,40,50,60,70;original;0
Stripes;19;18;1,2,3,4,5;original;1
Stripes;12;57;10,20,30;original;1
Curves;22;22;10,20,30,40,50;v2;1
Curves;5;5;10,20;v2;1
Curves;14;14;3,6,9,12,15,18;v2;1
Stripes;12;89;1,2,3,4,5,6;original;0
Stripes;4;4;2,4,6,8,10,12,14;v2;0
Curves;28;96;1,2,3,4,5,6,7,8;original;0
Curves;2;2;3,6,9;v2;0
Stripes;6;82;3,6;original;1
Circles;17;17;10,20,30,40,50,60,70,80;v2;1
Circles;27;10;10,20,30,40;original;1
Stripes;17;69;5,10,15,20,25,30;original;1
Circles;2;46;2,3,4,5,6,7,8;original;1
Circles;22;22;10,20,30;v2;1
Curves;19;19;5,10,15,20,25,30,35,40;v2;1
Squares;26;18;1,2;original;1
Stripes;7;7;5,10,15,20;v2;1
Squares;17;19;1,2,3,4,5,6;original;1
Squares;9;33;2,3,4,5,6,7,8;original;1
Circles;12;12;1,2,3,4,5,6;v2;1
Circles;16;53;10,20,30,40,50,60,70,80;original;0
Squares;19;82;2,3,4,5,6,7,8;original;1
Circles;12;12;1,2,3;v2;0
Curves;12;8;1,2,3,4,5;original;1
Stripes;7;7;5,10,15,20,25,30,35,40;v2;1
Stripes;9;9;10,20,30,40,50,60,70,80;v2;1
Stripes;16;37;2,3,4,5,6,7,8;original;1
Curves;22;22;10,20,30,40,50,60,70;v2;1
Curves;25;25;3,6,9,12,15,18,21;v2;1
Squares;2;15;3,6,9,12,15,18,21;original;0
Stripes;25;25;2,3,4,5,6,7,8;v2;0
Curves;10;10;1,2,3,4,5,6;v2;1
Curves;12;20;1,2,3,4,5,6;original;0
Curves;23;57;2,3,4,5,6,7,8;original;0
Squares;6;1;10,20,30,40;original;1
Circles;2;5;10,20,30,40,50;original;1
Squares;4;26;1,2,3,4,5,6,7,8;original;1
Stripes;24;62;1,2,3,4,5,6;original;1
Squares;24;24;5,10,15,20,25,30,35;v2;1
Circles;22;22;10,20,30,40;v2;1
Circles;3;83;5,10,15,20,25,30;original;1
Squares;27;27;3,6,9,12,15;v2;1
Stripes;17;17;5,10,15,20,25,30;v2;1
Circles;4;4;10;v2;1
Stripes;27;27;2,3,4,5,6,7,8;v2;1
Squares;18;38;5,10,15;original;1
Squares;24;43;5,10,15,20,25,30,35,40;original;1
Circles;25;99;2,3,4,5,6,7,8;original;0
Stripes;10;5;5;original;1
Squares;11;11;5,10,15;v2;1
Stripes;22;22;10,20;v2;1
Stripes;21;26;10,20,30,40,50,60,70,80;original;1
Curves;6;64;2,3,4,5,6,7,8;original;1
Curves;11;24;1,2,3,4,5,6,7;original;1
Stripes;6;67;2,4,6,8,10,12,14;original;1
Curves;27;82;10,20,30,40,50,60;original;0
Curves;8;42;5,10,15,20,25,30;original;0
Curves;25;25;1;v2;2
Squares;26;2;3,6,9;original;1
Stripes;15;23;1,2,3,4;original;1
Stripes;12;29;5,10,15,20,25,30,35;original;1
Squares;24;24;10,20,30,40;v2;1
Circles;26;26;2,3,4,5,6,7,8;v2;1
Squares;17;17;3,6,9,12,15,18,21;v2;1
Circles;23;23;3,6,9,12,15;v2;1
Circles;18;15;10,20,30,40,50,60,70,80;original;1
Squares;6;93;5,10,15,20;original;1
Squares;7;95;10,20,30,40,50;original;1
Circles;18;55;1,2,3,4,5,6;original;0
Circles;7;72;1,2;original;0
Stripes;10;12;3,6,9,12,15,18,21,24;original;1
Circles;18;99;10;original;0
Stripes;20;78;3,6,9;original;1
Curves;9;9;2,3,4,5,6,7,8;v2;1
Curves;16;47;2,3,4,5,6,7,8;original;0
Stripes;10;10;10,20,30,40,50;v2;1
Squares;11;69;5,10,15;original;0
Squares;18;18;2,3,4,5,6,7,8;v2;0
Squares;18;18;3,6,9,12,15;v2;0
Stripes;28;28;5,10,15,20,25,30,35,40;v2;0
Curves;18;38;2,3,4,5,6,7,8;original;0
Stripes;15;25;2,4,6;original;0
Curves;12;75;1,2,3,4,5,6;original;0
Circles;22;22;3;v2;2
Stripes;3;47;1,2,3,4,5;original;1
Stripes;2;2;10,20,30,40;v2;1
Circles;14;14;5,10,15,20,25,30;v2;1
Circles;2;2;10,20,30;v2;1
Squares;4;62;2,3,4,5,6,7,8;original;1
Circles;5;5;3,6,9,12,15,18,21;v2;1
Circles;15;15;10,20;v2;1
Circles;29;29;1,2,3,4,5;v2;1
Squares;18;18;1,2,3,4,5,6,7;v2;1
Circles;3;3;1,2,3,4,5,6,7,8;v2;1
Curves;21;21;2,4,6;v2;1
Squares;23;23;1,2,3,4,5,6,7;v2;1
Circles;6;51;3,6;original;0
Circles;14;61;2,4;original;0
Circles;22;80;5,10,15;original;0
Curves;15;33;5,10,15,20,25,30,35;original;1
Stripes;19;40;2,4,6,8,10;original;1
Squares;20;20;3,6,9;v2;1
Stripes;7;7;10,20;v2;1
Curves;23;23;5,10,15,20,25;v2;1
Curves;27;43;1,2,3;original;0
Curves;7;7;2,3,4,5,6,7,8;v2;1
Stripes;21;21;1,2,3,4,5,6;v2;1
Squares;11;11;1,2,3,4,5,6;v2;0
Squares;27;75;5,10,15,20,25;original;0
Stripes;14;8;1,2,3,4,5,6,7;original;0
Curves;28;28;2,4;v2;0
Stripes;23;5;5,10,15,20;original;1
Circles;5;11;10,20,30,40,50;original;1
Squares;13;8;1;original;1
Curves;27;6;10,20,30,40,50,60,70,80;original;1
Stripes;17;90;2,3,4,5,6,7,8;original;1
Curves;13;13;3,6,9,12;v2;1
Circles;22;22;2,3,4,5,6,7,8;v2;1
Circles;8;8;2,4,6,8,10,12;v2;1
Circles;13;24;2,4,6,8,10,12;original;0
Curves;19;19;5,10;v2;1
Circles;14;14;1,2,3,4;v2;1
Squares;8;8;2,4;v2;0
Curves;11;11;10,20,30,40,50,60;v2;1
Stripes;23;76;5,10;original;1
Circles;27;94;3,6;original;0
Curves;4;9;5,10,15,20,25,30,35;original;1
Curves;3;16;10,20,30,40,50;original;1
Curves;12;36;2,4,6,8,10;original;1
Stripes;12;12;5,10,15,20,25,30,35,40;v2;1
Stripes;28;90;3,6,9,12,15,18;original;0
Stripes;26;72;5,10,15,20,25,30,35;original;0
Squares;9;9;2,4,6,8,10;v2;0
Curves;9;9;5;v2;0
Circles;26;26;2;v2;2
Squares;28;29;2,3,4,5,6,7,8;original;0
Curves;6;92;1,2,3,4,5,6;original;0
Circles;18;18;1;v2;2
Squares;6;6;2,4,6,8;v2;0
Curves;28;42;2,3,4,5,6,7,8;original;0
Stripes;3;18;1,2,3,4;original;1
Stripes;21;21;10,20;v2;1
Squares;25;29;2,4,6,8;original;1
Squares;7;7;5,10,15,20;v2;1
Circles;26;26;10,20,30,40;v2;1
Circles;25;25;3,6,9,12,15;v2;1
Circles;22;22;3,6,9,12,15;v2;1
Squares;6;6;2,4,6,8,10,12,14;v2;1
Squares;8;8;2,4,6;v2;1
Stripes;9;9;1,2,3;v2;1
Squares;12;12;1,2,3;v2;0
Circles;22;71;2,4,6,8,10,12,14,16;original;0
Circles;21;75;2,3,4,5,6,7,8;original;0
Curves;5;82;3,6,9;original;1
Circles;16;93;3,6;original;0
Circles;19;94;10,20,30,40,50,60;original;0
Curves;24;24;2,3,4,5,6,7,8;v2;1
Stripes;12;12;5,10,15,20,25,30,35;v2;1
Stripes;8;8;1,2,3,4,5,6;v2;1
Curves;28;28;5,10,15,20,25;v2;1
Curves;21;21;5,10,15;v2;1
Curves;14;74;2,4,6;original;0
Curves;20;39;1,2,3,4,5;original;0
Curves;11;25;10,20,30,40,50,60;original;0
Squares;6;72;10,20,30;original;0
Stripes;14;14;3,6,9,12,15,18;v2;0
Stripes;13;13;2,4,6,8,10,12,14,16;v2;0
Stripes;11;11;1;v2;2
Stripes;12;10;3,6,9,12,15,18,21;original;1
Stripes;14;7;3,6,9,12,15,18,21,24;original;1
Squares;13;4;2,3,4,5,6,7,8;original;1
Curves;15;23;1;original;1
Squares;21;5;2,4,6,8;original;1
Squares;3;41;2,3,4,5,6,7,8;original;1
Stripes;8;47;5,10,15;original;1
Circles;10;78;5,10,15,20,25;original;1
Stripes;10;10;3,6,9,12,15,18,21;v2;1
Squares;12;12;2,4,6,8,10,12,14,16;v2;1
Circles;20;66;1;original;0
Stripes;20;20;1,2,3,4,5,6,7,8;v2;1
Circles;18;21;5,10;original;0
Circles;14;31;2,4,6,8,10;original;0
Curves;23;34;2,4,6,8,10,12;original;1
Curves;11;11;2,3,4,5,6,7,8;v2;1
Stripes;23;23;1,2,3,4,5,6,7;v2;1
Squares;16;16;5,10,15,20,25,30;v2;0
Curves;27;27;1,2,3,4,5;v2;1
Curves;12;50;3,6,9,12,15,18;original;1
Stripes;24;7;1,2,3,4;original;0
Curves;13;99;3,6,9,12,15,18,21,24;original;0
Squares;16;16;3;v2;0
Stripes;25;15;10,20,30,40,50,60;original;0
Curves;16;16;1;v2;2
Circles;5;20;10,20,30,40,50,60,70;original;1
Circles;17;17;10,20,30,40,50,60,70;v2;1
Circles;2;2;10,20,30,40,50,60,70;v2;1
Curves;6;6;3,6,9,12,15;v2;1
Stripes;22;22;2,4,6,8,10,12;v2;1
Circles;20;20;3,6,9,12,15;v2;1
Circles;9;19;10,20,30,40,50,60,70,80;original;0
Squares;8;39;10;original;1
Circles;6;34;2,4;original;0
Squares;10;10;1,2,3,4,5,6,7;v2;1
Circles;6;77;1,2,3,4,5,6;original;0
Circles;3;3;2,4;v2;0
Squares;14;95;5,10,15,20,25,30,35,40;original;1
Circles;17;95;2,3,4,5,6,7,8;original;0
Stripes;28;28;3,6,9,12,15;v2;1
Squares;20;20;5,10,15,20,25,30,35,40;v2;1
Curves;5;84;1,2,3;original;1
Stripes;19;29;5,10,15,20,25;original;0
Curves;10;26;3,6,9,12,15,18,21,24;original;0
Squares;24;9;10,20,30,40,50;original;1
Circles;27;27;3,6;v2;0
Curves;28;28;5,10,15,20,25,30;v2;1
Squares;29;3;1,2,3,4,5;original;0
Stripes;18;18;2,4,6,8,10,12;v2;1
Squares;4;4;3,6,9,12;v2;0
Curves;22;64;10,20,30,40,50,60,70;original;0
Stripes;25;67;5,10,15,20,25,30,35,40;original;0
Curves;5;74;3;original;1
Stripes;15;83;2;original;1
Curves;2;54;10,20,30,40;original;1
Stripes;15;40;2,4,6;original;1
Squares;20;41;3,6,9,12;original;1
Stripes;6;94;5,10,15,20,25,30;original;1
Squares;18;18;10,20,30,40;v2;1
Squares;11;11;2,3,4,5,6,7,8;v2;1
Stripes;11;11;3,6,9,12,15,18;v2;1
Squares;8;47;5,10;original;1
Circles;5;5;5,10;v2;1
Circles;16;16;1,2,3,4,5,6;v2;1
Circles;4;85;3,6,9,12;original;0
Circles;9;9;3,6;v2;0
Curves;10;30;5,10,15,20;original;1
Curves;11;11;2,3,4,5,6,7,8;v2;1
Curves;25;25;3,6,9,12;v2;1
Stripes;13;13;3,6,9,12;v2;1
Stripes;17;99;10,20,30,40,50;original;1
Stripes;21;21;10,20,30,40,50,60;v2;1
Curves;13;32;5,10,15,20;original;0
Curves;14;14;3;v2;0
Curves;21;43;2,3,4,5,6,7,8;original;1
Stripes;11;1;5,10,15,20,25;original;1
Circles;20;20;2,3,4,5,6,7,8;original;1
Circles;15;58;1,2,3,4,5;original;1
Squares;20;20;10,20,30;v2;1
Stripes;18;43;2,3,4,5,6,7,8;original;1
Stripes;29;82;2,3,4,5,6,7,8;original;1
Circles;24;24;3,6,9,12;v2;1
Circles;15;98;2,3,4,5,6,7,8;original;0
Squares;16;33;3,6,9,12,15,18;original;1
Circles;19;19;10,20,30,40,50;v2;1
Squares;8;8;1,2,3;v2;0
Circles;27;27;1,2,3,4,5,6;v2;1
Circles;3;3;2,4;v2;0
Curves;24;29;1,2,3,4;original;0
Stripes;18;85;2,4,6,8,10,12,14,16;original;1
Curves;6;91;3,6;original;0
Curves;3;3;3,6,9,12,15,18;v2;1
Squares;20;20;3,6,9,12,15;v2;1
Stripes;18;18;2,4,6;v2;0
Squares;13;87;2,4,6,8;original;0
Squares;24;51;10,20,30;original;0
Stripes;8;8;5,10,15,20;v2;0
Stripes;14;33;1,2,3,4,5;original;0
Circles;11;11;1,2;v2;2
Curves;4;94;10;original;0
Squares;28;28;1,2;v2;2
Curves;7;7;1,2,3,4,5,6,7,8;v2;0
Circles;20;20;1;v2;2
Curves;17;12;3,6,9,12,15,18,21;original;0
Stripes;8;12;5;original;1
Squares;18;9;3,6,9,12;original;1
Squares;18;18;5,10,15,20,25;v2;1
Squares;22;22;5,10,15,20,25;v2;1
Stripes;27;27;5,10,15,20,25,30,35,40;v2;1
Circles;10;10;5,10,15,20;v2;1
Stripes;29;29;3,6,9,12,15,18;v2;1
Squares;14;14;2,3,4,5,6,7,8;v2;1
Circles;18;18;5,10,15;v2;1
Squares;19;25;10,20,30,40,50,60;original;1
Squares;11;60;10,20;original;1
Circles;12;41;1,2,3,4,5,6,7,8;original;0
Circles;22;77;2,4,6,8,10,12,14,16;original;0
Curves;5;61;3,6,9,12,15,18;original;1
Stripes;15;85;2,4,6;original;1
Stripes;11;11;10,20,30,40,50;v2;1
Stripes;2;49;3,6,9,12,15,18,21;original;0
Squares;12;48;2,4;original;1
Curves;19;19;1,2,3,4;v2;1
Stripes;9;9;3,6,9,12;v2;1
Squares;22;82;1,2;original;1
Stripes;9;3;3,6,9,12,15,18,21,24;original;1
Curves;18;69;5,10,15,20;original;0
Stripes;29;29;1;v2;2
Curves;15;82;10,20,30,40,50,60;original;0
Curves;22;22;1;v2;2
Circles;15;1;10,20,30,40;original;1
Circles;27;7;3,6,9;original;1
Circles;6;6;5,10,15,20;v2;1
Stripes;26;26;2,4,6,8,10,12;v2;1
Squares;24;24;2,3,4,5,6,7,8;v2;1
Squares;9;9;10;v2;1
Curves;4;96;1,2,3,4,5;original;1
Stripes;25;25;1,2,3,4,5,6,7,8;v2;1
Squares;6;56;3,6,9,12,15;original;1
Squares;11;67;2,4,6,8,10,12;original;1
Circles;28;38;10,20,30,40,50;original;0
Stripes;2;2;1,2;v2;0
Circles;21;84;3,6,9,12,15,18;original;0
Circles;22;88;2,4,6,8,10,12,14,16;original;0
Stripes;12;12;10,20,30,40,50,60;v2;1
Squares;4;4;2,3,4,5,6,7,8;v2;1
Curves;17;17;2,3,4,5,6,7,8;v2;1
Stripes;22;22;5,10,15,20,25,30;v2;1
Stripes;25;90;1;original;1
Curves;22;22;2,3,4,5,6,7,8;v2;1
Stripes;29;29;3,6,9,12,15;v2;1
Stripes;17;17;2,3,4,5,6,7,8;v2;0
Stripes;19;19;5,10,15,20,25,30,35,40;v2;0
Curves;13;13;10,20,30,40,50,60;v2;1
Curves;14;14;2,4;v2;0
Squares;26;26;5,10,15,20,25,30,35,40;v2;0
Curves;12;12;2,3,4,5,6,7,8;v2;1
Squares;9;17;3,6,9,12;original;1
Stripes;22;81;2,4,6,8,10,12;original;1
Stripes;16;16;5,10,15,20,25;v2;1
Circles;2;40;3,6,9;original;1
Squares;19;19;5,10,15,20,25,30,35;v2;1
Stripes;8;45;5,10,15,20,25,30,35,40;original;1
Squares;4;4;10,20,30,40,50;v2;1
Squares;6;6;3,6,9,12;v2;1
Stripes;9;9;2,3,4,5,6,7,8;v2;1
Curves;11;99;10,20,30,40,50;original;0
Squares;21;98;2,4,6,8,10;original;1
Circles;13;87;10,20,30,40;original;0
Stripes;10;6;1,2,3,4,5,6,7,8;original;1
Squares;10;50;3,6,9,12,15,18,21,24;original;1
Curves;15;99;2,4,6,8,10,12,14,16;original;1
Stripes;14;12;3,6;original;1
Curves;19;19;2,3,4,5,6,7,8;v2;1
Curves;8;8;5,10,15,20,25,30,35,40;v2;1
Circles;24;24;1,2,3;v2;0
Stripes;21;21;5;v2;1
Circles;24;24;5;v2;0
Curves;21;76;1,2,3,4;original;0
Stripes;23;23;2,3,4,5,6,7,8;v2;1
Curves;12;12;2,3,4,5,6,7,8;v2;0
Circles;11;11;2;v2;2
Curves;28;28;5,10,15,20,25,30;v2;0
